25,43
25,29
34,24
43,31
29,36
24,28
31,19
36,18
28,28
19,32
18,34
28,38
32,29
34,22
38,29
29,23
22,26
29,49
23,47
26,37
49,19
47,12
37,10
19,22
12,33
10,40
22,35
33,35
40,44
35,46
35,41
44,32
46,26
41,31
32,37
26,37
31,54
37,52
37,20
54,38
52,30
20,32
38,29
30,26
32,25
29,32
26,27
25,39
32,51
27,38
39,26
51,28
38,25
26,27
28,30
25,29
27,17
30,27
29,33
17,29
27,28
33,34
29,58
28,54
34,25
58,35
54,42
25,29
35,26
42,31
29,36
26,28
31,30
36,41
28,38
30,42
41,43
38,41
42,39
43,28
41,29
39,18
28,32
29,48
18,52
32,37
48,45
52,46
37,48
45,33
46,42
48,30
33,36
42,67
30,65
36,57
67,41
65,34
57,44
41,45
34,59
44,48
45,44
59,45
48,42
44,42
45,37
42,33
42,29
37,11
33,22
29,36
11,39
22,40
36,35
39,20
40,31
35,36
20,33
31,28
36,41
33,42
28,26
41,28
42,15
26,13
28,13
15,8
13,24
13,38
8,36
24,19
38,17
36,24
19,21
17,16
24,9
21,16
16,14
9,24
16,27
14,14
24,17
27,27
14,29
17,25
27,28
29,31
25,29
28,27
31,30
29,27
27,18
30,23
27,33
18,27
23,14
33,10
27,17
14,8
10,7
17,20
8,18
7,8
20,15
18,20
8,17
15,11
20,13
17,23
11,18
13,14
23,26
18,13
14,10
26,11
13,7
10,5
11,5
7,11
5,13
5,15
11,17
13,22
15,17
17,13
22,8
17,9
13,5
8,5
9,7
5,4
5,5
7,9
4,11
5,12
9,14
11,13
12,12
14,13
13,16
12,13
13,19
19,9
9,14
7,7
13,6
14,9
7,11
6,13
9,14
11,12
13,15
14,11
12,12
15,9
11,19
12,19
9,19
19,17
19,18
19,20
17,18
18,23
20,22
18,32
23,35
22,4
32,3
35,8
4,9
3,14
8,11
9,14
14,14
11,14
14,10
14,12
14,11
10,15
12,15
11,15
15,12
15,14
15,13
12,16
14,26
13,25
16,20
26,25
25,10
20,12
25,14
10,23
14,11
23,23
11,22
23,9
24,11
22,11
9,14
11,18
11,23
14,16
18,15
23,22
16,24
15,21
22,26
24,24
21,19
26,19
24,25
19,27
19,32
25,35
27,25
32,31
35,45
25,35
31,32
45,24
35,27
32,27
24,25
27,24
27,22
25,27
24,30
22,33
27,29
30,27
33,32
29,33
27,14
32,23
33,28
14,39
23,21
28,15
39,9
21,6
15,13
9,15
6,14
13,15
15,15
14,17
15,25
15,30
17,34
25,26
30,26
34,27
26,27
26,26
27,22
27,25
26,26
22,27
25,19
26,13
27,23
19,29
13,26
23,29
29,33
26,47
29,33
33,7
47,10
33,18
7,27
10,27
18,32
27,25
27,19
32,20
25,30
19,25
20,27
30,20
25,18
27,19
20,31
18,41
19,30
